label,tweet
0,"['checked', 'flight', 'cincinnati', 'ragt', 'tomorrow', 'whoot']"
0,"['friday', 'night', 'friday', 'weekend']"
0,"['bihday', 'pac', 'pac', 'starin', 'rear', 'view', 'music', 'video', 'via']"
0,"['add', 'close', 'peepz', 'staycloseofamily', 'sunday', 'gmikedrezzy']"
0,"['good', 'leader', 'take', 'advantage', 'change', 'generate', 'power', 'make', 'team', 'stronger', 'leadership', 'quote', 'inspirational']"
0,"['poisonoushateful', 'ideology', 'mental', 'weaknessinstability', 'easy', 'access', 'gunsexplosives', 'tragedy', 'need', 'leadership', 'action']"
0,"['pastel', 'milhojas', 'campeche', 'city']"
0,"['government', 'handout', 'enticing', 'though']"
0,"['yes', 'sir', 'use', 'tragedy', 'political', 'mileage', 'donaldtrump', 'orlandolove']"
0,"['pa', 'billion', 'plus', 'group', 'abglp', 'firstjob', 'abg']"
0,"['always', 'erenromasadiyor']"
0,"['another', 'dalit', 'youth', 'loses', 'life', 'hand', 'liquor', 'contractor', 'punjabwhich', 'mainly', 'dominated']"
0,"['ig', 'maetamong', 'practice', 'episode', 'funlove']"
0,"['yesterday', 'love', 'life', 'moment', 'hijab', 'girl', 'beautiful', 'friend', 'work', 'instagood']"
0,"['releasing', 'remix', 'album', 'jealous', 'people', 'already', 'dont', 'jealous']"
0,"['vibrant', 'iam', 'positive', 'affirmation']"
0,"['thankful', 'sense', 'taste', 'thankful', 'positive']"
0,"['hillary', 'bigger', 'lead', 'poll', 'obama', 'point', 'basis']"
0,"['welcome', 'time', 'line', 'happy', 'tweeting', 'beyou']"
0,"['gift', 'let', 'shine', 'brighten', 'world', 'around', 'positive', 'gratitude']"
0,"['dropped', 'cider', 'unloading', 'car', 'lost', 'bottle']"
0,"['thanks', 'retweet']"
0,"['pa', 'oldpofest', 'mathew', 'pub', 'poland', 'maine', 'year', 'along']"
0,"['pretty', 'sure', 'warm', 'weather', 'sun', 'meditation', 'sunshine', 'meditate', 'quiet']"
0,"['fed', 'internet', 'day', 'closed', 'internet', 'ever']"
0,"['aap', 'congress', 'hell', 'bent', 'vitiating', 'communal', 'harmony', 'punjab', 'bjp', 'leader']"
0,"['exactly', 'folk', 'cant', 'favor', 'lovely', 'old', 'stadium']"
0,"['laughed', 'tweet']"
0,"['going', 'hear', 'garbage', 'childesh', 'aclowns', 'another', 'month', 'smh']"
0,"['ready', 'tbc', 'oneteamlincoln']"
0,"['little', 'month', 'guy', 'back']"
0,"['nothing', 'say', 'like', 'cute', 'little', 'mug', 'meet', 'yr', 'old', 'camden', 'firecracker']"
0,"['dont', 'ever', 'bring', 'youll', 'beat', 'trumpuniversity', 'ground', 'though']"
0,"['cant', 'believe', 'wont', 'see', 'smiley', 'face', 'office']"
0,"['flacciddonald', 'cant', 'even', 'erect', 'inch', 'self', 'hows', 'going', 'erect', 'giant', 'wall', 'along', 'border', 'chode', 'flaccid']"
0,"['local', 'still', 'simbone', 'ndlulamthi', 'proverb', 'golden', 'shovel', 'abantu', 'manskap', 'like']"
0,"['franklin', 'dog', 'sunshine', 'dogsoftwitter']"
0,"['wishing', 'bihday', 'hbd', 'bihday', 'aboutlastnight']"
0,"['boy', 'idea', 'coming', 'called', 'smartphone', 'youre', 'horrible', 'trash', 'talk']"
0,"['sad', 'leaving', 'first', 'house', 'today', 'looking', 'forward', 'making', 'memory', 'new', 'house', 'movinghou']"
0,"['offering', 'rolling', 'block', 'rifle', 'along', 'mag', 'madeinusa']"
0,"['think', 'drug', 'name', 'invented', 'punjab', 'bjp', 'regimeits', 'prob', 'like', 'terrorism', 'jk', 'local', 'help']"
0,"['focusing', 'truly', 'want', 'allow', 'stay', 'healthy']"
0,"['large', 'general', 'gbp', 'shop', 'cool', 'home', 'fun']"
0,['cool']
